method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0,reward_type
naive,512,8,368,4.50009298324585,5.229960447806577,-0.7298674645607273,0.7298674645607273,0.13955506391388306,0.5327065158243045,0.521240234375,-1.5,sigmoid
prox,512,8,368,5.3567070960998535,5.229960447806577,0.12674664829327664,0.12674664829327664,0.02423472405922948,0.016064712853579566,0.521240234375,-1.5,sigmoid
ipw,512,8,368,4.429575443267822,5.229960447806577,-0.8003850045387546,0.8003850045387546,0.1530384431252119,0.6406161554905022,0.521240234375,-1.5,sigmoid
impute,512,8,368,2.146854877471924,5.229960447806577,-3.083105570334653,3.083105570334653,0.5895083913354822,9.505539957828566,0.521240234375,-1.5,sigmoid
scope,512,8,368,4.955134996705801,5.229960447806577,-0.27482545110077616,0.27482545110077616,0.05254828479936914,0.07552902857274511,0.521240234375,-1.5,sigmoid
naive,512,8,369,4.370840549468994,5.242558682780947,-0.871718133311953,0.871718133311953,0.1662772295091497,0.759892503944876,0.531982421875,-1.5,sigmoid
prox,512,8,369,5.341517448425293,5.242558682780947,0.0989587656443458,0.0989587656443458,0.018876043480328297,0.009792837297852556,0.531982421875,-1.5,sigmoid
ipw,512,8,369,4.356473445892334,5.242558682780947,-0.8860852368886132,0.8860852368886132,0.16901770499945723,0.7851470470319497,0.531982421875,-1.5,sigmoid
impute,512,8,369,-1.3933087587356567,5.242558682780947,-6.635867441516604,6.635867441516604,1.2657688436205672,44.03473670138012,0.531982421875,-1.5,sigmoid
scope,512,8,369,4.586539557446738,5.242558682780947,-0.6560191253342094,0.6560191253342094,0.12513338715480435,0.4303610928042611,0.531982421875,-1.5,sigmoid
naive,512,8,370,4.343709468841553,5.237871063745772,-0.8941615949042196,0.8941615949042196,0.17071088310921032,0.7995249578016578,0.5205078125,-1.5,sigmoid
prox,512,8,370,5.330768585205078,5.237871063745772,0.09289752145930574,0.09289752145930574,0.017735740404589435,0.008629949493282172,0.5205078125,-1.5,sigmoid
ipw,512,8,370,4.292752265930176,5.237871063745772,-0.9451187978155966,0.9451187978155966,0.18043949274683202,0.8932495419843985,0.5205078125,-1.5,sigmoid
impute,512,8,370,2.215228796005249,5.237871063745772,-3.0226422677405234,3.0226422677405234,0.577074584493291,9.136366278731574,0.5205078125,-1.5,sigmoid
scope,512,8,370,4.341898663162771,5.237871063745772,-0.895972400583001,0.895972400583001,0.17105659717065694,0.8027665426064656,0.5205078125,-1.5,sigmoid
naive,512,8,321,0.7488428354263306,3.181953337751303,-2.4331105023249724,2.4331105023249724,0.7646593912795905,5.920026716524079,0.669921875,-1.5,linear
prox,512,8,321,3.3848588466644287,3.181953337751303,0.20290550891312575,0.20290550891312575,0.06376759410825293,0.041170645547294556,0.669921875,-1.5,linear
ipw,512,8,321,0.13162559270858765,3.181953337751303,-3.0503277450427153,3.0503277450427153,0.9586337137169938,9.304499352177377,0.669921875,-1.5,linear
impute,512,8,321,3.0384578704833984,3.181953337751303,-0.14349546726790452,0.14349546726790452,0.04509665983012599,0.020590949126434256,0.669921875,-1.5,linear
scope,512,8,321,4.568335591424874,3.181953337751303,1.3863822536735708,1.3863822536735708,0.43570162931846507,1.9220557533010092,0.669921875,-1.5,linear
naive,512,8,322,1.0162755250930786,3.1690900399317727,-2.152814514838694,2.152814514838694,0.6793162982788088,4.634610335300162,0.6767578125,-1.5,linear
prox,512,8,322,4.159999847412109,3.1690900399317727,0.9909098074803366,0.9909098074803366,0.31267960045138693,0.9819022465607178,0.6767578125,-1.5,linear
ipw,512,8,322,1.6768467426300049,3.1690900399317727,-1.4922432973017679,1.4922432973017679,0.47087437671347904,2.2267900583420523,0.6767578125,-1.5,linear
impute,512,8,322,2.2447595596313477,3.1690900399317727,-0.9243304803004251,0.9243304803004251,0.29167062742096306,0.8543868368124146,0.6767578125,-1.5,linear
scope,512,8,322,3.800422527110658,3.1690900399317727,0.6313324871788852,0.6313324871788852,0.19921569889900545,0.3985807093674773,0.6767578125,-1.5,linear
naive,512,8,323,-0.020074591040611267,3.1957937084469297,-3.215868299487541,3.215868299487541,1.0062815666066152,10.341808919648889,0.68701171875,-1.5,linear
prox,512,8,323,3.555047035217285,3.1957937084469297,0.3592533267703555,0.3592533267703555,0.11241442957372333,0.12906295279556781,0.68701171875,-1.5,linear
ipw,512,8,323,0.1809159219264984,3.1957937084469297,-3.0148777865204313,3.0148777865204313,0.9433893616323505,9.089488067654335,0.68701171875,-1.5,linear
impute,512,8,323,4.6468915939331055,3.1957937084469297,1.4510978854861758,1.4510978854861758,0.4540649421928334,2.1056850732624506,0.68701171875,-1.5,linear
scope,512,8,323,5.398950016242712,3.1957937084469297,2.2031563077957825,2.2031563077957825,0.6893925293026681,4.853897716580345,0.68701171875,-1.5,linear
naive,512,8,324,1.3853312730789185,3.1742057407428734,-1.788874467663955,1.788874467663955,0.5635660110819712,3.2000718610599983,0.654541015625,-1.5,linear
