method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0
ipw,1024,8,358,4.218621253967285,4.887609892692401,-0.668988638725116,0.668988638725116,0.13687439329504164,0.4475457987432838,0.3631591796875,-0.7
impute,1024,8,358,-1.7067252397537231,4.887609892692401,-6.594335132446124,6.594335132446124,1.3491942436538347,43.48525583901324,0.3631591796875,-0.7
scope,1024,8,358,4.535125343362647,4.887609892692401,-0.3524845493297546,0.3524845493297546,0.0721179793536231,0.1242453575162002,0.3631591796875,-0.7
naive,1024,8,359,4.179501056671143,4.903485659374785,-0.7239846027036423,0.7239846027036423,0.14764692975485388,0.5241537049519508,0.3743896484375,-0.7
prox,1024,8,359,4.883183479309082,4.903485659374785,-0.020302180065702835,0.020302180065702835,0.004140356773938531,0.00041217851542022155,0.3743896484375,-0.7
ipw,1024,8,359,7.324128150939941,4.903485659374785,2.4206424915651565,2.4206424915651565,0.4936575040119111,5.859510071970769,0.3743896484375,-0.7
impute,1024,8,359,-0.3372269868850708,4.903485659374785,-5.240712646259856,5.240712646259856,1.0687729118245384,27.46506904066798,0.3743896484375,-0.7
scope,1024,8,359,4.269583270193571,4.903485659374785,-0.6339023891812134,0.6339023891812134,0.129275872963813,0.4018322390096506,0.3743896484375,-0.7
naive,1024,8,360,3.98028564453125,4.911895353775307,-0.9316097092440572,0.9316097092440572,0.18966399773318,0.8678966503577967,0.386962890625,-0.7
prox,1024,8,360,4.869826316833496,4.911895353775307,-0.04206903694181108,0.04206903694181108,0.008564725815967681,0.001769803869211465,0.386962890625,-0.7
ipw,1024,8,360,4.109686851501465,4.911895353775307,-0.8022085022738423,0.8022085022738423,0.16331954255850767,0.6435384811204413,0.386962890625,-0.7
impute,1024,8,360,0.29521092772483826,4.911895353775307,-4.616684426050469,4.616684426050469,0.9398987750221638,21.313775089736946,0.386962890625,-0.7
scope,1024,8,360,4.880446558324411,4.911895353775307,-0.031448795450896405,0.031448795450896405,0.006402578472427085,0.0009890267353123224,0.386962890625,-0.7
naive,1024,8,361,4.088627815246582,4.901235895694459,-0.8126080804478768,0.8126080804478768,0.16579656595629702,0.660331892409183,0.3740234375,-0.7
